채수위치,이벤트_시작,이벤트_종료,이벤트_기간(일),예측_선행일수,탐지여부
문의,2024-07-26,2024-10-05,72,,미탐지
문의,2025-07-26,2025-08-05,11,9.0,탐지
문의,2025-08-07,2025-08-23,17,21.0,탐지
문의,2025-09-05,2025-09-19,15,21.0,탐지
문의,2025-09-25,2025-10-05,11,,미탐지
문의,2025-10-13,2025-10-13,1,,미탐지
추동,2024-07-29,2024-08-01,4,,미탐지
추동,2024-08-22,2024-09-24,34,,미탐지
추동,2024-09-26,2024-10-02,7,0.0,탐지
추동,2025-08-30,2025-11-12,75,,미탐지
회남,2024-07-25,2024-09-10,48,10.0,탐지
회남,2024-09-22,2024-09-26,5,0.0,탐지
회남,2025-07-25,2025-09-11,49,6.0,탐지
회남,2025-09-20,2025-09-23,4,,미탐지
