조사일,채수위치,실제단계,예측단계,prob_정상,prob_관심,prob_경계,발동_시나리오,권고조치
2024-01-01,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-01,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-01,회남,미발령,미발령,0.983,0.006,0.011,없음,정상 모니터링 유지
2024-01-02,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-02,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-02,회남,미발령,미발령,0.983,0.006,0.011,없음,정상 모니터링 유지
2024-01-03,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-03,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-03,회남,미발령,미발령,0.984,0.005,0.01,없음,정상 모니터링 유지
2024-01-04,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-04,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-04,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-05,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-05,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-05,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-06,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-06,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-06,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-07,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-07,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-07,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-08,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-08,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-08,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-09,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-09,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-09,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-10,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-10,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-10,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-11,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-11,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-11,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-12,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-12,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-12,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-13,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-13,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-13,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-14,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-14,추동,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-14,회남,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
2024-01-15,문의,미발령,미발령,0.985,0.005,0.01,없음,정상 모니터링 유지
