조사일,stage_num,scenario,risk_score,HSI_14,CSI,heat_streak,평균기온(°C),수온(℃),저수율(%),유입량(㎥/s),총방류량(㎥/s)
2016-01-05,0,S-GRN,3.0,0.0,0.0,0,-0.9333333333333332,8.8,41.4,14.02,19.026
2016-01-06,0,S-GRN,3.9,0.0,0.0,0,-0.6333333333333333,8.8,41.4,19.239,19.239
2016-01-07,0,S-GRN,1.3,0.0,0.0,0,-0.6666666666666666,8.8,41.4,19.406,19.406
2016-01-08,0,S-GRN,3.5,0.0,0.0,0,-1.4666666666666668,8.8,41.4,14.447,19.45
2016-01-09,0,S-GRN,4.5,0.0,0.0,0,0.7333333333333333,8.8,41.4,19.51,19.51
2016-01-10,0,S-GRN,4.4,0.0,0.0,0,0.5666666666666667,8.8,41.3,14.351,19.352
2016-01-11,0,S-GRN,4.6,0.0,0.0,0,-2.333333333333333,8.8,41.3,18.8,18.8
2016-01-12,0,S-GRN,4.2,0.0,0.0,0,-3.6666666666666665,8.8,41.3,14.365,19.363
2016-01-13,0,S-GRN,3.8,0.0,0.0,0,-2.0666666666666664,8.8,41.3,19.084,19.084
2016-01-14,0,S-GRN,4.0,0.0,0.0,0,-2.1666666666666665,8.8,41.3,14.015,19.011
2016-01-15,0,S-GRN,6.5,0.0,0.0,0,-0.6666666666666666,8.8,41.3,14.313,19.307
2016-01-16,0,S-GRN,6.3,0.0,0.0,0,-0.1999999999999999,8.8,41.2,14.3,19.291
2016-01-17,0,S-GRN,6.0,0.0,0.0,0,1.2666666666666666,8.8,41.2,18.435,18.435
2016-01-18,0,S-GRN,1.3,0.0,0.0,0,-3.9,8.8,41.2,18.608,18.608
2016-01-19,0,S-GRN,1.3,0.0,0.0,0,-9.366666666666667,8.8,41.2,9.559,19.534
2016-01-20,0,S-GRN,5.3,0.0,0.0,0,-9.5,8.8,41.2,19.465,19.465
2016-01-21,0,S-GRN,5.3,0.0,0.0,0,-6.866666666666667,8.8,41.1,8.791,18.757
2016-01-22,0,S-GRN,5.1,0.0,0.0,0,-6.566666666666666,8.8,41.1,14.43,19.409
2016-01-23,0,S-GRN,1.2,0.0,0.0,0,-8.799999999999999,8.8,41.1,14.94,19.917
2016-01-24,0,S-GRN,2.1,0.0,0.0,0,-13.166666666666666,8.8,41.0,9.25,19.197
2016-01-25,0,S-GRN,5.6,0.0,0.0,0,-8.5,8.8,41.0,14.502,19.472
2016-01-26,0,S-GRN,6.3,0.0,0.0,0,-2.6666666666666665,8.8,40.9,15.096,20.063
2016-01-27,0,S-GRN,6.3,0.0,0.0,0,-1.3,8.8,40.9,16.094,21.059
2016-01-28,0,S-GRN,5.8,0.0,0.0,0,-0.9666666666666668,8.8,40.9,15.352,20.315
2016-01-29,0,S-GRN,3.6,0.0,0.0,0,2.433333333333333,8.8,40.9,15.272,20.232
2016-01-30,0,S-GRN,5.3,0.0,0.0,0,2.5,8.8,40.8,10.618,20.531
2016-01-31,0,S-GRN,2.4,0.0,0.0,0,-2.066666666666667,8.8,40.8,14.003,18.956
2016-02-01,0,S-GRN,2.0,0.0,0.0,0,-4.6,8.8,40.7,14.829,19.78
2016-02-02,0,S-GRN,4.8,0.0,0.0,0,-4.833333333333333,8.8,40.7,13.342,18.29
2016-02-03,0,S-GRN,5.3,0.0,0.0,0,-3.0,8.8,40.7,14.471,19.417
2016-02-04,0,S-GRN,3.2,0.0,0.0,0,-0.9333333333333336,8.8,40.7,15.199,20.143
2016-02-05,0,S-GRN,2.7,0.0,0.0,0,-1.4333333333333331,8.8,40.6,15.112,20.053
2016-02-06,0,S-GRN,2.4,0.0,0.0,0,-2.4333333333333336,8.8,40.6,10.388,20.263
2016-02-07,0,S-GRN,5.7,0.0,0.0,0,-3.4,8.8,40.5,13.83,18.764
2016-02-08,0,S-GRN,2.0,0.0,0.0,0,1.5,8.8,40.5,13.266,18.198
2016-02-09,0,S-GRN,1.1,0.0,0.0,0,1.8333333333333333,8.8,40.5,8.915,18.771
2016-02-10,0,S-GRN,6.4,0.0,0.0,0,2.066666666666667,8.8,40.4,9.262,19.109
2016-02-11,0,S-GRN,2.3,0.0,0.0,0,6.233333333333333,8.8,40.4,18.415,18.415
2016-02-12,0,S-GRN,2.0,0.0,0.0,0,9.6,8.8,40.4,19.941,19.941
2016-02-13,0,S-GRN,2.9,0.0,0.0,0,12.1,8.8,40.4,24.957,20.035
2016-02-14,0,S-GRN,1.2,0.0,0.0,0,-0.6,8.8,40.4,19.726,19.726
2016-02-15,0,S-GRN,1.3,0.0,0.0,0,-4.1000000000000005,8.8,40.5,29.205,19.353
2016-02-16,0,S-GRN,1.7,0.0,0.0,0,-0.9666666666666668,8.8,40.6,39.033,19.301
2016-02-17,0,S-GRN,3.7,0.0,0.0,0,0.3333333333333333,8.8,40.7,29.091,19.211
