채수위치,week_start_target,lw4_mean_total_cyano_mean,lw4_std_total_cyano_mean,lw4_slope_total_cyano_mean,lw4_mean_total_cyano_max,lw4_std_total_cyano_max,lw4_slope_total_cyano_max,lw4_mean_발령단계_코드_max,lw4_std_발령단계_코드_max,lw4_slope_발령단계_코드_max,lw4_mean_microcystis_mean,lw4_std_microcystis_mean,lw4_slope_microcystis_mean,lw4_mean_anabaena_mean,lw4_std_anabaena_mean,lw4_slope_anabaena_mean,lw4_mean_oscillatoria_mean,lw4_std_oscillatoria_mean,lw4_slope_oscillatoria_mean,lw4_mean_aphanizomenon_mean,lw4_std_aphanizomenon_mean,lw4_slope_aphanizomenon_mean,lw4_mean_수온(℃)_mean,lw4_std_수온(℃)_mean,lw4_slope_수온(℃)_mean,lw4_mean_pH_mean,lw4_std_pH_mean,lw4_slope_pH_mean,lw4_mean_DO(㎎/L)_mean,lw4_std_DO(㎎/L)_mean,lw4_slope_DO(㎎/L)_mean,lw4_mean_탁도_mean,lw4_std_탁도_mean,lw4_slope_탁도_mean,lw4_mean_Chl-a (㎎/㎥)_mean,lw4_std_Chl-a (㎎/㎥)_mean,lw4_slope_Chl-a (㎎/㎥)_mean,lw4_mean_투명도_mean,lw4_std_투명도_mean,lw4_slope_투명도_mean,lw4_mean_합계 일조시간(hr)_mean,lw4_std_합계 일조시간(hr)_mean,lw4_slope_합계 일조시간(hr)_mean,lw4_mean_유입량(㎥/s)_mean,lw4_std_유입량(㎥/s)_mean,lw4_slope_유입량(㎥/s)_mean,lw4_mean_총방류량(㎥/s)_mean,lw4_std_총방류량(㎥/s)_mean,lw4_slope_총방류량(㎥/s)_mean,lw4_mean_수위(EL.m)_mean,lw4_std_수위(EL.m)_mean,lw4_slope_수위(EL.m)_mean,lw4_mean_저수율(%)_mean,lw4_std_저수율(%)_mean,lw4_slope_저수율(%)_mean,lw4_mean_일강수_주합_mm,lw4_std_일강수_주합_mm,lw4_slope_일강수_주합_mm,lw2_mean_total_cyano_max,lw1_total_cyano_max,lw2_mean_total_cyano_mean,lw1_total_cyano_mean,lw2_mean_발령단계_코드_max,lw1_발령단계_코드_max,lw2_mean_수온(℃)_mean,lw1_수온(℃)_mean,lw2_mean_Chl-a (㎎/㎥)_mean,lw1_Chl-a (㎎/㎥)_mean,lw2_mean_유입량(㎥/s)_mean,lw1_유입량(㎥/s)_mean,lw2_mean_총방류량(㎥/s)_mean,lw1_총방류량(㎥/s)_mean,lw2_mean_일강수_주합_mm,lw1_일강수_주합_mm,lw2_mean_합계 일조시간(hr)_mean,lw1_합계 일조시간(hr)_mean,y_cyano_max_next,y_cyano_mean_next,y_stage_max_next,y_alert_ge1_next
문의,2016-02-01,49.081940596714624,49.629131264516815,-118.37930898811987,72.31702047068545,60.048377869440834,-129.2680778827418,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,49.081940596714624,49.629131264516815,-118.37930898811987,8.8,0.0,0.0,8.2,0.0,0.0,13.3,8.881784197001252e-16,-1.7763568394002505e-15,1.7,0.0,0.0,4.5,0.0,0.0,,,,5.48531746031746,0.4616965862092863,-0.6984126984126986,15.253351190476192,1.30939595213214,-2.4092619047619035,19.432839285714284,0.3942413677668454,0.7592142857142825,66.13761904761904,0.06664710597388052,-0.17619047619047024,41.1672619047619,0.1859459406847655,-0.49761904761904674,4.922741666666666,3.000616212674305,7.345466666666666,13.000001000000001,1e-06,2.034646904200097,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,13.998571428571427,14.419571428571428,19.679642857142856,20.089714285714283,6.168899999999999,7.345466666666666,5.376190476190476,4.757142857142857,1e-06,1e-06,0,0
문의,2016-02-08,19.48711334968465,31.447173446762438,-73.87915759033841,40.000001,55.299186250793966,-134.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,19.48711334968465,31.447173446762438,-73.87915759033841,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,6.367857142857142,1.5802722827185018,3.2523809523809524,14.516535714285716,1.0107074980842252,-2.3058571428571426,19.482714285714284,0.39074346979018504,0.48842857142857454,66.07357142857143,0.08396123984267295,-0.22142857142857508,40.98214285714286,0.2395520905390549,-0.6285714285714192,4.922741666666666,3.000616212674305,-7.353166666666667,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,14.150571428571428,13.88157142857143,19.80985714285714,19.53,3.672733333333333,0.0,6.871428571428572,8.985714285714286,1e-06,1e-06,0,0
문의,2016-02-15,1.0173239521000486,1.762055040743243,-4.069291808400194,6.500001000000001,11.258330249197702,-26.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1.0173239521000486,1.762055040743243,-4.069291808400194,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,6.136904761904762,1.7176632567217776,-1.1857142857142842,14.558321428571428,1.080003096060377,2.777000000000001,19.515,0.35682255637038013,-0.09885714285714187,65.99928571428572,0.08946838456536041,-0.2400000000000091,40.77142857142857,0.26205623325491695,-0.7000000000000028,13.752808333333334,16.9066720328326,37.6811,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,15.11807142857143,16.35457142857143,19.350357142857142,19.170714285714286,21.336716666666668,42.673433333333335,6.897619047619048,4.80952380952381,1e-06,1e-06,0,0
문의,2016-02-22,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,6.338095238095239,1.7363167678644778,2.042857142857142,17.67532142857143,4.919296513476291,11.626,19.446357142857142,0.41851128895119516,-1.0947142857142822,65.95892857142857,0.05506373857741877,-0.07714285714284586,40.65357142857143,0.16174274106034586,-0.22857142857142776,12.895408333333334,17.408716955472734,-5.782733333333333,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,21.200071428571427,26.045571428571428,19.082857142857144,18.995,22.118083333333335,1.5627333333333333,5.804761904761905,6.799999999999999,1e-06,1e-06,0,0
문의,2016-02-29,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,6.411904761904761,1.6726508215927962,-3.9333333333333336,18.827178571428572,4.547470179609622,5.1454285714285675,19.180678571428572,0.2122606785612107,-0.5030000000000037,65.94428571428571,0.03721147507894643,0.02142857142857224,40.60714285714286,0.10522085616183043,0.05714285714285694,18.9782,18.615751705880697,31.676633333333335,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,22.53628571428571,19.026999999999997,19.011,19.026999999999997,16.619683333333334,31.676633333333335,5.926190476190476,5.052380952380952,1e-06,1e-06,0,0
문의,2016-03-07,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,5.692857142857143,0.8046527116679325,1.299999999999999,25.235714285714288,8.972138821407762,23.16114285714286,19.0175,0.10455998668863108,-0.29342857142857426,65.96428571428572,0.05566847933828066,0.15571428571428214,40.660714285714285,0.153322056669039,0.4285714285714235,36.631550000000004,24.726724334260297,27.939966666666677,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,29.27135714285714,39.51571428571429,18.952142857142853,18.877285714285712,51.14501666666668,70.61340000000001,5.580952380952381,6.109523809523809,1e-06,1e-06,0,0
문의,2016-03-14,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,6.048809523809524,0.6314452253064853,-0.5666666666666655,43.40692857142858,27.355366218793087,62.99385714285716,18.889071428571427,0.1451216766041795,-0.33800000000000097,66.2525,0.45226118402028315,1.0742857142857076,41.50714285714286,1.334109043060388,3.1571428571428513,25.96319166666667,28.704329848845447,-1.5627333333333333,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,64.27757142857143,89.03942857142859,18.767142857142858,18.657,35.306700000000006,0.0,6.171428571428571,6.233333333333333,1e-06,1e-06,0,0
문의,2016-03-21,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,6.098809523809524,0.6937882387165453,1.9476190476190478,43.83839285714286,27.09045835966014,8.744428571428575,18.827392857142854,0.1393053969609529,-0.27871428571428325,66.58857142857143,0.5888721492508079,1.3257142857142838,42.5,1.7462204082777493,3.9285714285714235,28.134108333333337,27.057983410665976,-21.430233333333334,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,58.40542857142858,27.771428571428572,18.702642857142855,18.748285714285714,5.1232,10.2464,6.616666666666667,7.0,1e-06,1e-06,0,0
문의,2016-03-28,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,7.295238095238095,1.5072199634229206,3.7285714285714295,43.84321428571429,27.086043475527458,-20.469428571428573,18.832214285714286,0.1462891496527428,0.16900000000000404,66.93214285714285,0.5307892659973052,1.3157142857142787,43.52499999999999,1.5846642276159686,3.942857142857143,20.21495,29.396701169136314,-70.61340000000001,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,23.408857142857144,19.046285714285716,18.897285714285715,19.046285714285716,5.1232,0.0,8.41904761904762,9.838095238095239,1e-06,1e-06,0,0
문의,2016-04-04,1e-06,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,8.8,0.0,0.0,8.2,0.0,0.0,13.3,0.0,0.0,1.7,0.0,0.0,4.5,0.0,0.0,,,,7.800000000000001,1.3561190791800328,1.8952380952380947,37.82485714285715,29.906596267822437,-73.59714285714287,18.91492857142857,0.22221965829019785,0.5511428571428567,67.25285714285714,0.12740342480899305,0.2857142857142918,44.474999999999994,0.38695237802233995,0.8428571428571487,4.470341666666666,4.5646908573901985,7.634966666666667,1e-06,1e-06,1e-06,1e-06,0.0,0.0,8.8,8.8,4.5,4.5,17.244285714285716,15.442285714285715,19.127214285714288,19.208142857142857,3.8174833333333336,7.634966666666667,8.983333333333334,8.128571428571428,1e-06,1e-06,0,0
